    | Name                                                                                | Type                                | Params
68  | model.flow._transform._transforms.3.autoregressive_net.blocks.1.linear_layers       | ModuleList                          | 144   
69  | model.flow._transform._transforms.3.autoregressive_net.blocks.1.linear_layers.0     | MaskedLinear                        | 72    
70  | model.flow._transform._transforms.3.autoregressive_net.blocks.1.linear_layers.1     | MaskedLinear                        | 72    
71  | model.flow._transform._transforms.3.autoregressive_net.blocks.1.dropout             | Dropout                             | 0     
72  | model.flow._transform._transforms.3.autoregressive_net.blocks.2                     | MaskedResidualBlock                 | 176   
73  | model.flow._transform._transforms.3.autoregressive_net.blocks.2.batch_norm_layers   | ModuleList                          | 32    
74  | model.flow._transform._transforms.3.autoregressive_net.blocks.2.batch_norm_layers.0 | BatchNorm1d                         | 16    
75  | model.flow._transform._transforms.3.autoregressive_net.blocks.2.batch_norm_layers.1 | BatchNorm1d                         | 16    
76  | model.flow._transform._transforms.3.autoregressive_net.blocks.2.linear_layers       | ModuleList                          | 144   
77  | model.flow._transform._transforms.3.autoregressive_net.blocks.2.linear_layers.0     | MaskedLinear                        | 72    
78  | model.flow._transform._transforms.3.autoregressive_net.blocks.2.linear_layers.1     | MaskedLinear                        | 72    
79  | model.flow._transform._transforms.3.autoregressive_net.blocks.2.dropout             | Dropout                             | 0     
80  | model.flow._transform._transforms.3.autoregressive_net.blocks.3                     | MaskedResidualBlock                 | 176   
81  | model.flow._transform._transforms.3.autoregressive_net.blocks.3.batch_norm_layers   | ModuleList                          | 32    
82  | model.flow._transform._transforms.3.autoregressive_net.blocks.3.batch_norm_layers.0 | BatchNorm1d                         | 16    
83  | model.flow._transform._transforms.3.autoregressive_net.blocks.3.batch_norm_layers.1 | BatchNorm1d                         | 16    
84  | model.flow._transform._transforms.3.autoregressive_net.blocks.3.linear_layers       | ModuleList                          | 144   
85  | model.flow._transform._transforms.3.autoregressive_net.blocks.3.linear_layers.0     | MaskedLinear                        | 72    
86  | model.flow._transform._transforms.3.autoregressive_net.blocks.3.linear_layers.1     | MaskedLinear                        | 72    
87  | model.flow._transform._transforms.3.autoregressive_net.blocks.3.dropout             | Dropout                             | 0     
88  | model.flow._transform._transforms.3.autoregressive_net.blocks.4                     | MaskedResidualBlock                 | 176   
89  | model.flow._transform._transforms.3.autoregressive_net.blocks.4.batch_norm_layers   | ModuleList                          | 32    
90  | model.flow._transform._transforms.3.autoregressive_net.blocks.4.batch_norm_layers.0 | BatchNorm1d                         | 16    
91  | model.flow._transform._transforms.3.autoregressive_net.blocks.4.batch_norm_layers.1 | BatchNorm1d                         | 16    
92  | model.flow._transform._transforms.3.autoregressive_net.blocks.4.linear_layers       | ModuleList                          | 144   
93  | model.flow._transform._transforms.3.autoregressive_net.blocks.4.linear_layers.0     | MaskedLinear                        | 72    
94  | model.flow._transform._transforms.3.autoregressive_net.blocks.4.linear_layers.1     | MaskedLinear                        | 72    
95  | model.flow._transform._transforms.3.autoregressive_net.blocks.4.dropout             | Dropout                             | 0     
96  | model.flow._transform._transforms.3.autoregressive_net.final_layer                  | MaskedLinear                        | 108   
97  | model.flow._transform._transforms.4                                                 | ReversePermutation                  | 0     
98  | model.flow._transform._transforms.5                                                 | MaskedAffineAutoregressiveTransform | 1.0 K 
99  | model.flow._transform._transforms.5.autoregressive_net                              | MADE                                | 1.0 K 
100 | model.flow._transform._transforms.5.autoregressive_net.initial_layer                | MaskedLinear                        | 56    
101 | model.flow._transform._transforms.5.autoregressive_net.blocks                       | ModuleList                          | 880   
102 | model.flow._transform._transforms.5.autoregressive_net.blocks.0                     | MaskedResidualBlock                 | 176   
103 | model.flow._transform._transforms.5.autoregressive_net.blocks.0.batch_norm_layers   | ModuleList                          | 32    
104 | model.flow._transform._transforms.5.autoregressive_net.blocks.0.batch_norm_layers.0 | BatchNorm1d                         | 16    
105 | model.flow._transform._transforms.5.autoregressive_net.blocks.0.batch_norm_layers.1 | BatchNorm1d                         | 16    
106 | model.flow._transform._transforms.5.autoregressive_net.blocks.0.linear_layers       | ModuleList                          | 144   
107 | model.flow._transform._transforms.5.autoregressive_net.blocks.0.linear_layers.0     | MaskedLinear                        | 72    
108 | model.flow._transform._transforms.5.autoregressive_net.blocks.0.linear_layers.1     | MaskedLinear                        | 72    
109 | model.flow._transform._transforms.5.autoregressive_net.blocks.0.dropout             | Dropout                             | 0     
110 | model.flow._transform._transforms.5.autoregressive_net.blocks.1                     | MaskedResidualBlock                 | 176   
111 | model.flow._transform._transforms.5.autoregressive_net.blocks.1.batch_norm_layers   | ModuleList                          | 32    
112 | model.flow._transform._transforms.5.autoregressive_net.blocks.1.batch_norm_layers.0 | BatchNorm1d                         | 16    
